N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"83,600","1,100",+1.33%,100,"4,990,738","5,969,783",54.74,"32,850,356",21.77,9.99,
2,SK하이닉스,"144,500","3,000",+2.12%,"5,000","1,051,963","728,002",50.31,"9,339,997",36.66,4.25,
3,LG화학,"891,000","60,000",+7.22%,"5,000","628,978","70,592",44.71,"690,866",83.25,1.84,
4,NAVER,"377,500","2,500",+0.67%,100,"620,094","164,263",57.28,"1,133,199",75.15,10.56,
5,삼성전자우,"73,100",300,+0.41%,100,"601,530","822,887",78.68,"2,916,017",19.03,N/A,
6,현대차,"239,000","2,000",+0.84%,"5,000","510,667","213,668",30.87,"2,493,405",57.11,4.32,
7,삼성바이오로직스,"753,000","3,000",+0.40%,"2,500","498,222","66,165",10.48,"83,241",140.20,4.77,
8,삼성SDI,"684,000","10,000",+1.48%,"5,000","470,349","68,765",43.87,"568,030",233.37,2.94,
9,카카오,"491,500","3,500",+0.72%,500,"435,853","88,678",33.73,"916,685",-545.50,-5.81,
10,셀트리온,"291,500","6,000",-2.02%,"1,000","393,606","135,028",21.19,"898,189",78.78,11.19,
11,기아차,"80,100",700,+0.88%,"5,000","324,696","405,363",33.62,"4,951,066",37.22,6.50,
12,현대모비스,"308,500","5,500",+1.82%,"5,000","292,437","94,793",40.19,"580,584",18.81,7.28,
13,POSCO,"285,000","3,500",+1.24%,"5,000","248,482","87,187",51.97,"619,496",26.11,4.18,
14,SK이노베이션,"265,000","4,500",+1.73%,"5,000","245,034","92,466",23.08,"923,620",-10.08,-0.20,
15,LG전자,"149,000","2,500",+1.71%,"5,000","243,835","163,648",31.85,"1,543,964",32.36,0.22,
16,LG생활건강,"1,505,000","8,000",-0.53%,"5,000","235,054","15,618",45.64,"49,181",33.72,20.32,
17,삼성물산,"122,500","1,000",+0.82%,100,"228,937","186,887",14.70,"461,201",20.52,4.77,
18,엔씨소프트,"946,000","10,000",+1.07%,500,"207,685","21,954",50.09,"112,643",37.02,14.72,
19,SK텔레콤,"247,500",0,0.00%,500,"199,846","80,746",36.20,"335,559",18.23,3.92,
20,SK,"274,000","11,500",+4.38%,200,"192,787","70,360",21.50,"403,400","1,156.12",4.31,
21,KB금융,"44,500",700,+1.60%,"5,000","185,035","415,808",66.65,"2,678,586",5.43,8.92,
22,신한지주,"33,250",300,+0.91%,"5,000","171,769","516,600",58.87,"2,569,045",4.77,9.09,
23,LG,"93,300",600,-0.64%,"5,000","160,996","172,557",35.03,"530,807",13.19,5.87,
24,삼성생명,"78,400","3,400",+4.53%,500,"156,800","200,000",12.42,"826,565",15.75,3.26,
25,삼성전기,"201,500","12,000",+6.33%,"5,000","150,508","74,694",34.71,"1,100,365",25.89,10.92,
26,삼성에스디에스,"191,500","3,000",-1.54%,500,"148,178","77,378",12.01,"176,924",28.27,11.76,
27,한국전력,"22,900",200,+0.88%,"5,000","147,010","641,964",16.65,"2,351,615",159.03,-3.42,
28,아모레퍼시픽,"235,500","1,000",+0.43%,500,"137,670","58,458",32.54,"199,688",378.62,5.36,
29,포스코케미칼,"155,000","3,000",-1.90%,500,"120,068","77,463",7.33,"702,044",348.31,11.57,
30,하나금융지주,"37,900",850,+2.29%,"5,000","113,792","300,242",67.25,"2,612,747",4.64,8.77,
31,롯데케미칼,"323,500","5,500",+1.73%,"5,000","110,881","34,275",26.84,"417,538",95.63,5.51,
32,KT&G,"78,100",200,-0.26%,"5,000","107,225","137,292",39.62,"576,448",10.91,12.32,
33,넷마블,"123,500",0,0.00%,100,"106,070","85,886",23.64,"260,252",50.02,3.54,
34,S-Oil,"84,600",400,-0.47%,"2,500","95,245","112,583",76.38,"529,866",-11.34,1.01,
35,한온시스템,"17,300","1,850",+11.97%,100,"92,347","533,800",19.64,"7,875,360",65.78,14.98,
36,SK바이오팜,"112,000","6,000",-5.08%,500,"87,711","78,313",11.16,"1,541,853",-101.82,-313.66,
37,삼성화재,"181,000","8,000",+4.62%,500,"85,748","47,375",44.03,"402,138",13.23,4.85,
38,LG디스플레이,"23,000",400,+1.77%,"5,000","82,298","357,816",23.99,"2,984,805",-3.35,-22.35,
39,한국조선해양,"110,500","1,500",-1.34%,"5,000","78,204","70,773",16.60,"444,567",365.89,1.40,
40,고려아연,"407,000","3,500",+0.87%,"5,000","76,801","18,870",22.58,"58,020",13.71,9.76,
41,빅히트,"207,000",500,+0.24%,500,"73,741","35,624",9.12,"173,155",N/A,56.47,
42,현대글로비스,"193,500",500,+0.26%,500,"72,562","37,500",32.73,"322,229",10.88,11.25,
43,한화솔루션,"45,250",200,+0.44%,"5,000","72,339","159,864",17.78,"1,662,752",-83.64,-4.02,
44,우리금융지주,"9,730",150,+1.57%,"5,000","70,277","722,268",25.08,"2,056,774",5.22,N/A,
45,KT,"26,100",100,+0.38%,"5,000","68,150","261,112",42.74,"1,585,909",11.12,4.61,
46,금호석유,"209,000","2,000",-0.95%,"5,000","63,677","30,468",27.71,"577,268",17.88,11.84,
47,기업은행,"8,390",60,+0.72%,"5,000","61,974","738,664",10.53,"1,405,469",4.28,7.36,
48,HMM,"18,800",200,-1.05%,"5,000","61,676","328,061",9.53,"10,940,631",-60.65,-55.46,
49,미래에셋대우,"9,390",50,+0.54%,"5,000","60,595","645,316",14.68,"1,778,149",9.81,7.56,
50,CJ제일제당,"400,000","6,500",-1.60%,"5,000","60,217","15,054",24.44,"77,263",8.31,3.16,
